Date,Open,High,Low,Close,% Change,% Change vs Average,Volume
2025-08-29T16:44:00.000Z,"6,461.12","6,462.11","6,461.12","6,462.03",0.0139,0.0135,30
2025-08-29T16:45:00.000Z,"6,462.17","6,462.86","6,461.97","6,462.40",0.0057,0.0053,31
2025-08-29T16:46:00.000Z,"6,462.44","6,462.87","6,462.04","6,462.72",0.005,0.0045,33
2025-08-29T16:47:00.000Z,"6,462.70","6,462.74","6,461.75","6,461.97",-0.0116,-0.012,26
2025-08-29T16:48:00.000Z,"6,461.95","6,462.15","6,461.73","6,461.89",-0.0012,-0.0016,24
2025-08-29T16:49:00.000Z,"6,461.92","6,461.92","6,459.82","6,460.06",-0.0283,-0.0287,40
2025-08-29T16:50:00.000Z,"6,460.10","6,460.31","6,459.15","6,460.25",0.0029,0.0025,32
2025-08-29T16:51:00.000Z,"6,460.26","6,460.26","6,459.22","6,459.40",-0.0132,-0.0136,23
2025-08-29T16:52:00.000Z,"6,459.38","6,460.00","6,459.22","6,459.60",0.0031,0.0027,23
2025-08-29T16:53:00.000Z,"6,459.58","6,460.05","6,459.28","6,460.00",0.0062,0.0058,28
2025-08-29T16:54:00.000Z,"6,459.99","6,460.99","6,459.99","6,460.85",0.0132,0.0128,32
2025-08-29T16:55:00.000Z,"6,460.80","6,461.73","6,460.66","6,461.18",0.0051,0.0047,37
2025-08-29T16:56:00.000Z,"6,461.10","6,461.48","6,459.99","6,460.36",-0.0127,-0.0131,34
2025-08-29T16:57:00.000Z,"6,460.34","6,461.53","6,460.28","6,461.25",0.0138,0.0134,22
2025-08-29T16:58:00.000Z,"6,461.30","6,461.35","6,460.98","6,461.14",-0.0017,-0.0021,22
2025-08-29T16:59:00.000Z,"6,461.12","6,461.16","6,460.19","6,460.22",-0.0142,-0.0146,26
2025-08-29T17:00:00.000Z,"6,460.17","6,460.17","6,456.59","6,456.72",-0.0542,-0.0546,41
2025-08-29T17:01:00.000Z,"6,456.45","6,456.87","6,456.07","6,456.15",-0.0088,-0.0092,37
2025-08-29T17:02:00.000Z,"6,456.21","6,456.68","6,455.58","6,456.52",0.0057,0.0053,35
2025-08-29T17:03:00.000Z,"6,456.39","6,456.39","6,454.84","6,454.90",-0.0251,-0.0255,35
2025-08-29T17:04:00.000Z,"6,454.87","6,455.05","6,451.91","6,451.91",-0.0463,-0.0467,47
2025-08-29T17:05:00.000Z,"6,451.86","6,452.65","6,451.61","6,451.67",-0.0037,-0.0041,43
2025-08-29T17:06:00.000Z,"6,451.64","6,454.16","6,450.91","6,454.01",0.0363,0.0359,40
2025-08-29T17:07:00.000Z,"6,453.85","6,454.31","6,453.36","6,454.15",0.0022,0.0018,26
2025-08-29T17:08:00.000Z,"6,454.19","6,454.70","6,454.04","6,454.04",-0.0017,-0.0021,26
2025-08-29T17:09:00.000Z,"6,454.09","6,455.05","6,453.95","6,454.86",0.0127,0.0123,34
2025-08-29T17:10:00.000Z,"6,454.80","6,454.80","6,452.46","6,453.00",-0.0288,-0.0292,39
2025-08-29T17:11:00.000Z,"6,453.01","6,453.01","6,450.94","6,451.47",-0.0237,-0.0241,33
2025-08-29T17:12:00.000Z,"6,451.46","6,452.44","6,451.45","6,452.43",0.0149,0.0145,27
2025-08-29T17:13:00.000Z,"6,452.36","6,452.53","6,450.67","6,450.84",-0.0246,-0.025,31
2025-08-29T17:14:00.000Z,"6,450.77","6,451.48","6,450.62","6,451.08",0.0037,0.0033,46
2025-08-29T17:15:00.000Z,"6,451.10","6,451.62","6,449.02","6,449.02",-0.0319,-0.0323,59
2025-08-29T17:16:00.000Z,"6,448.88","6,449.82","6,448.41","6,449.48",0.0071,0.0067,44
2025-08-29T17:17:00.000Z,"6,449.51","6,450.19","6,448.23","6,448.23",-0.0194,-0.0198,33
2025-08-29T17:18:00.000Z,"6,447.81","6,449.03","6,447.81","6,448.89",0.0102,0.0098,31
2025-08-29T17:19:00.000Z,"6,449.02","6,450.46","6,448.84","6,449.94",0.0163,0.0159,32
2025-08-29T17:20:00.000Z,"6,449.86","6,451.99","6,449.86","6,451.88",0.0301,0.0297,33
2025-08-29T17:21:00.000Z,"6,451.90","6,453.00","6,451.86","6,452.95",0.0166,0.0162,35
